scheme_code,alpha,beta,tracking_error
100016,0.04620380622575175,0.03625174029735001,0.19977634768584016
100025,0.04574517982002818,-0.008411641007649585,0.14925670728561286
100033,0.25654201227449613,0.003811913491767341,0.23665196712577624
101206,0.20526095033058359,0.024043518985933113,0.2017477976926946
101207,0.07169868194624678,0.0722478227172457,0.2890347891696267
101208,0.06087242408952344,-0.0004490094464683393,0.14298203362751458
102885,0.15450218058073822,0.0083228508613335,0.19103539076754442
102886,0.01284748234692445,0.02352370161199621,0.22812178650852244
102887,0.12881035359923565,0.024821186908368882,0.20936371872420134
118632,0.21022904634437292,0.0161371426823236,0.19943384462907504
118633,0.169659011198379,-0.012204026680818802,0.20185849491880722
118634,0.17430187665097682,-0.022769282196945333,0.292528402672257
118635,0.11660106273527762,0.011260807138191588,0.19211574046253505
118636,0.061675510046351696,-0.009698239257640353,0.1494382606824688
119092,0.03978358103756908,-0.022711885448971916,0.20100066747015138
119093,0.09197685855970364,0.016572435767491546,0.19907102456889042
119094,0.232544508142309,-0.01685001244812742,0.2426219651768214
119095,0.08566554844367659,0.04950038789379774,0.2841327794249791
119120,0.06016557636798747,0.006988092130394014,0.14730252423204915
119551,0.20426181702378304,0.022346256052715764,0.19524620691071148
119552,0.1833200228323922,0.020218347263378577,0.19813990847809002
119598,0.2949595974262425,-0.07345273318713179,0.29392141931947113
119599,0.029870481744569636,0.04509877106748379,0.28465780671075486
120503,0.1863534588226529,0.0110554069013848,0.19766934049568724
120504,0.20853313819785868,-0.0051950258295506415,0.20215739060817178
120505,0.29856990910896797,0.04618909192534526,0.23669527609519633
120506,0.16431995501848184,0.007348145222764995,0.20747379594423254
120507,0.0675578212811807,-0.0015134407953569465,0.14312863521588473
120841,0.06868383748662277,0.038348355686172834,0.19157948778941988
120842,0.030117541152098234,-0.0645670000631996,0.23345562355959248
120843,0.22798034564914046,-0.030952786830085437,0.21701661366133115
120844,0.064121785825002,0.001003252275766168,0.1427781930962568
125497,0.16899471946134398,0.025548541346418496,0.20168602682887363
125498,0.1205160929771953,0.005654326773554043,0.23239299538078875
148567,0.26261603985760856,0.013684434574747911,0.2006999647264288
148568,0.22452979085632832,0.0013800155985376668,0.21022017333638762
148569,0.27340719738121916,-0.0056351374526275875,0.22841927095578635
149322,0.12581941541957992,0.023498589899182756,0.20032307111994951
149323,0.2636940171698346,-0.013654683239655746,0.22874209016531802
149324,0.30860432980685526,-0.046870143876895295,0.291537261443266
